COUNTY NAME (SHORT),COUNTY NAME (FULL),WOODARD NATION NAME,STATE NAME
Hubbard,Hubbard County,YANKEEDOM,Minnesota
Sargent,Sargent County,YANKEEDOM,North Dakota
St. Lawrence,St. Lawrence County,YANKEEDOM,New York
Reynolds,Reynolds County,GREATER APPALACHIA,Missouri
Sacramento,Sacramento County,THE LEFT COAST,California
Paulding,Paulding County,THE MIDLANDS,Ohio
Wells,Wells County,THE MIDLANDS,Indiana
Floyd,Floyd County,GREATER APPALACHIA,Virginia
Santa Barbara,Santa Barbara County,EL NORTE,California
Boone,Boone County,GREATER APPALACHIA,West Virginia
Benton,Benton County,DEEP SOUTH,Mississippi
Crittenden,Crittenden County,GREATER APPALACHIA,Kentucky
Palo Alto,Palo Alto County,THE MIDLANDS,Iowa
Ringgold,Ringgold County,THE MIDLANDS,Iowa
Randolph,Randolph County,TIDEWATER,North Carolina
Cecil,Cecil County,THE MIDLANDS,Maryland
Warren,Warren County,GREATER APPALACHIA,Indiana
Greeley,Greeley County,THE MIDLANDS,Nebraska
Jefferson,Jefferson County,THE MIDLANDS,Nebraska
Saline,Saline County,THE MIDLANDS,Nebraska
Knott,Knott County,GREATER APPALACHIA,Kentucky
Clinton,Clinton County,YANKEEDOM,Iowa
Jackson,Jackson County,YANKEEDOM,Minnesota
Dodge,Dodge County,YANKEEDOM,Minnesota
Freeborn,Freeborn County,YANKEEDOM,Minnesota
Calaveras,Calaveras County,THE FAR WEST,California
Barnstable,Barnstable County,YANKEEDOM,Massachusetts
Middlesex,Middlesex County,TIDEWATER,Virginia
Jefferson,Jefferson County,THE MIDLANDS,Pennsylvania
Lake,Lake County,YANKEEDOM,Indiana
Bedford,Bedford County,GREATER APPALACHIA,Tennessee
Clay,Clay County,GREATER APPALACHIA,Tennessee
Coles,Coles County,GREATER APPALACHIA,Illinois
Lauderdale,Lauderdale County,DEEP SOUTH,Tennessee
Baker,Baker County,THE FAR WEST,Oregon
Schuyler,Schuyler County,YANKEEDOM,New York
Van Buren,Van Buren County,YANKEEDOM,Michigan
Mercer,Mercer County,THE MIDLANDS,Illinois
Lawrence,Lawrence County,GREATER APPALACHIA,Kentucky
Morgan,Morgan County,GREATER APPALACHIA,Kentucky
Muhlenberg,Muhlenberg County,GREATER APPALACHIA,Kentucky
Effingham,Effingham County,GREATER APPALACHIA,Illinois
Loudon,Loudon County,GREATER APPALACHIA,Tennessee
Clark,Clark County,THE MIDLANDS,South Dakota
Gilchrist,Gilchrist County,DEEP SOUTH,Florida
Tippecanoe,Tippecanoe County,GREATER APPALACHIA,Indiana
Snyder,Snyder County,THE MIDLANDS,Pennsylvania
Lamar,Lamar County,GREATER APPALACHIA,Texas
Miami-Dade,Miami-Dade County,PART OF THE SPANISH CARIBBEAN,Florida
Dundy,Dundy County,THE FAR WEST,Nebraska
Leon,Leon County,DEEP SOUTH,Texas
Pitkin,Pitkin County,THE FAR WEST,Colorado
Grand Forks,Grand Forks County,YANKEEDOM,North Dakota
LaPorte,LaPorte County,YANKEEDOM,Indiana
Hamilton,Hamilton County,GREATER APPALACHIA,Indiana
Emporia,Emporia city,TIDEWATER,Virginia
Lincoln,Lincoln County,GREATER APPALACHIA,Oklahoma
Greeley,Greeley County,THE FAR WEST,Kansas
Harris,Harris County,DEEP SOUTH,Georgia
Screven,Screven County,DEEP SOUTH,Georgia
Stonewall,Stonewall County,GREATER APPALACHIA,Texas
Henry,Henry County,THE MIDLANDS,Ohio
Grafton,Grafton County,YANKEEDOM,New Hampshire
Newton,Newton County,GREATER APPALACHIA,Missouri
Posey,Posey County,GREATER APPALACHIA,Indiana
McMullen,McMullen County,EL NORTE,Texas
Cumberland,Cumberland County,GREATER APPALACHIA,Illinois
Walton,Walton County,DEEP SOUTH,Georgia
Pope,Pope County,YANKEEDOM,Minnesota
Rappahannock,Rappahannock County,TIDEWATER,Virginia
Amherst,Amherst County,GREATER APPALACHIA,Virginia
Ventura,Ventura County,EL NORTE,California
Crawford,Crawford County,GREATER APPALACHIA,Illinois
Park,Park County,THE FAR WEST,Colorado
Los Angeles,Los Angeles County,EL NORTE,California
Yuma,Yuma County,EL NORTE,Arizona
Gordon,Gordon County,GREATER APPALACHIA,Georgia
Calhoun,Calhoun County,THE MIDLANDS,Iowa
Highlands,Highlands County,DEEP SOUTH,Florida
Covington,Covington city,GREATER APPALACHIA,Virginia
Orange,Orange County,YANKEEDOM,Vermont
McPherson,McPherson County,THE MIDLANDS,Kansas
Pinal,Pinal County,EL NORTE,Arizona
Fulton,Fulton County,THE MIDLANDS,Ohio
Alamosa,Alamosa County,EL NORTE,Colorado
Citrus,Citrus County,DEEP SOUTH,Florida
DeKalb,DeKalb County,GREATER APPALACHIA,Tennessee
Clarion,Clarion County,THE MIDLANDS,Pennsylvania
Miner,Miner County,THE MIDLANDS,South Dakota
Jerauld,Jerauld County,THE MIDLANDS,South Dakota
Decatur,Decatur County,GREATER APPALACHIA,Indiana
Dubois,Dubois County,GREATER APPALACHIA,Indiana
Essex,Essex County,TIDEWATER,Virginia
Williamsburg,Williamsburg County,DEEP SOUTH,South Carolina
Essex,Essex County,YANKEEDOM,New York
Worth,Worth County,YANKEEDOM,Iowa
Hughes,Hughes County,GREATER APPALACHIA,Oklahoma
Buchanan,Buchanan County,GREATER APPALACHIA,Virginia
Alleghany,Alleghany County,GREATER APPALACHIA,Virginia
Lowndes,Lowndes County,DEEP SOUTH,Mississippi
Scott,Scott County,GREATER APPALACHIA,Indiana
Prowers,Prowers County,THE FAR WEST,Colorado
Sutton,Sutton County,GREATER APPALACHIA,Texas
Muskogee,Muskogee County,GREATER APPALACHIA,Oklahoma
Christian,Christian County,GREATER APPALACHIA,Missouri
Lamar,Lamar County,DEEP SOUTH,Mississippi
Ripley,Ripley County,GREATER APPALACHIA,Indiana
Mercer,Mercer County,THE FAR WEST,North Dakota
Hart,Hart County,GREATER APPALACHIA,Georgia
Jackson,Jackson Parish,DEEP SOUTH,Louisiana
Northumberland,Northumberland County,TIDEWATER,Virginia
Fort Bend,Fort Bend County,DEEP SOUTH,Texas
Green Lake,Green Lake County,YANKEEDOM,Wisconsin
Pondera,Pondera County,THE FAR WEST,Montana
Walworth,Walworth County,YANKEEDOM,Wisconsin
Mineral,Mineral County,THE FAR WEST,Nevada
Fulton,Fulton County,GREATER APPALACHIA,Illinois
Suffolk,Suffolk County,YANKEEDOM,New York
Union,Union County,GREATER APPALACHIA,Indiana
McDonald,McDonald County,GREATER APPALACHIA,Missouri
Scotts Bluff,Scotts Bluff County,THE FAR WEST,Nebraska
San Miguel,San Miguel County,EL NORTE,New Mexico
Lee,Lee County,DEEP SOUTH,Alabama
Parker,Parker County,GREATER APPALACHIA,Texas
Dickey,Dickey County,THE MIDLANDS,North Dakota
Barnes,Barnes County,YANKEEDOM,North Dakota
Sibley,Sibley County,YANKEEDOM,Minnesota
Upson,Upson County,DEEP SOUTH,Georgia
Sonoma,Sonoma County,THE LEFT COAST,California
Chippewa,Chippewa County,YANKEEDOM,Michigan
Bonneville,Bonneville County,THE FAR WEST,Idaho
Barrow,Barrow County,GREATER APPALACHIA,Georgia
Long,Long County,DEEP SOUTH,Georgia
Kinney,Kinney County,EL NORTE,Texas
Ottawa,Ottawa County,GREATER APPALACHIA,Oklahoma
Clearfield,Clearfield County,THE MIDLANDS,Pennsylvania
Clinton,Clinton County,YANKEEDOM,Michigan
Montgomery,Montgomery County,GREATER APPALACHIA,Illinois
Alcorn,Alcorn County,GREATER APPALACHIA,Mississippi
Lafayette,Lafayette County,DEEP SOUTH,Mississippi
Grant,Grant Parish,DEEP SOUTH,Louisiana
Atchison,Atchison County,THE MIDLANDS,Missouri
Macon,Macon County,GREATER APPALACHIA,Illinois
St. Joseph,St. Joseph County,YANKEEDOM,Michigan
Franklin,Franklin County,GREATER APPALACHIA,Illinois
Garfield,Garfield County,THE FAR WEST,Montana
Adams,Adams County,THE MIDLANDS,Nebraska
Olmsted,Olmsted County,YANKEEDOM,Minnesota
Union,Union County,YANKEEDOM,New Jersey
Mobile,Mobile County,DEEP SOUTH,Alabama
McCook,McCook County,THE MIDLANDS,South Dakota
Fayette,Fayette County,GREATER APPALACHIA,Alabama
Chambers,Chambers County,DEEP SOUTH,Alabama
Northampton,Northampton County,TIDEWATER,North Carolina
Moffat,Moffat County,THE FAR WEST,Colorado
Green,Green County,GREATER APPALACHIA,Kentucky
Franklin,Franklin County,GREATER APPALACHIA,Indiana
Beaufort,Beaufort County,TIDEWATER,North Carolina
Burleigh,Burleigh County,THE FAR WEST,North Dakota
Rowan,Rowan County,GREATER APPALACHIA,North Carolina
Iron,Iron County,YANKEEDOM,Michigan
Kandiyohi,Kandiyohi County,YANKEEDOM,Minnesota
Wolfe,Wolfe County,GREATER APPALACHIA,Kentucky
Fayette,Fayette County,DEEP SOUTH,Texas
Lawrence,Lawrence County,THE FAR WEST,South Dakota
Washington,Washington County,YANKEEDOM,Maine
Briscoe,Briscoe County,GREATER APPALACHIA,Texas
Ontonagon,Ontonagon County,YANKEEDOM,Michigan
Carroll,Carroll County,DEEP SOUTH,Mississippi
Benton,Benton County,THE LEFT COAST,Oregon
Rock,Rock County,YANKEEDOM,Minnesota
Indiana,Indiana County,THE MIDLANDS,Pennsylvania
Lincoln,Lincoln Parish,DEEP SOUTH,Louisiana
Perry,Perry County,THE MIDLANDS,Pennsylvania
Ziebach,Ziebach County,THE FAR WEST,South Dakota
Harrison,Harrison County,DEEP SOUTH,Texas
Baraga,Baraga County,YANKEEDOM,Michigan
Rogers,Rogers County,GREATER APPALACHIA,Oklahoma
Boone,Boone County,THE MIDLANDS,Missouri
Caddo,Caddo County,GREATER APPALACHIA,Oklahoma
Jefferson,Jefferson County,THE FAR WEST,Colorado
Cabell,Cabell County,GREATER APPALACHIA,West Virginia
Reagan,Reagan County,GREATER APPALACHIA,Texas
Van Buren,Van Buren County,GREATER APPALACHIA,Arkansas
Summit,Summit County,THE FAR WEST,Colorado
Cowley,Cowley County,GREATER APPALACHIA,Kansas
Johnson,Johnson County,GREATER APPALACHIA,Arkansas
Hamilton,Hamilton County,YANKEEDOM,New York
Craig,Craig County,GREATER APPALACHIA,Virginia
Coleman,Coleman County,GREATER APPALACHIA,Texas
Navajo,Navajo County,THE FAR WEST,Arizona
Lincoln,Lincoln County,DEEP SOUTH,Mississippi
Ochiltree,Ochiltree County,THE MIDLANDS,Texas
Crane,Crane County,GREATER APPALACHIA,Texas
Big Horn,Big Horn County,THE FAR WEST,Wyoming
Hickman,Hickman County,GREATER APPALACHIA,Tennessee
Tunica,Tunica County,DEEP SOUTH,Mississippi
Harrison,Harrison County,THE MIDLANDS,Missouri
Bartholomew,Bartholomew County,GREATER APPALACHIA,Indiana
Paulding,Paulding County,GREATER APPALACHIA,Georgia
Brown,Brown County,GREATER APPALACHIA,Ohio
Putnam,Putnam County,GREATER APPALACHIA,Tennessee
Ward,Ward County,THE FAR WEST,North Dakota
Worcester,Worcester County,YANKEEDOM,Massachusetts
