COUNTY NAME (SHORT),COUNTY NAME (FULL),WOODARD NATION NAME,STATE NAME
Orangeburg,Orangeburg County,DEEP SOUTH,South Carolina
Taylor,Taylor County,YANKEEDOM,Wisconsin
Mower,Mower County,YANKEEDOM,Minnesota
Murray,Murray County,YANKEEDOM,Minnesota
Providence,Providence County,YANKEEDOM,Rhode Island
Phelps,Phelps County,GREATER APPALACHIA,Missouri
Prentiss,Prentiss County,GREATER APPALACHIA,Mississippi
Whitley,Whitley County,GREATER APPALACHIA,Kentucky
Starke,Starke County,THE MIDLANDS,Indiana
Williamson,Williamson County,GREATER APPALACHIA,Texas
Mitchell,Mitchell County,YANKEEDOM,Iowa
Emanuel,Emanuel County,DEEP SOUTH,Georgia
Catahoula,Catahoula Parish,DEEP SOUTH,Louisiana
Carbon,Carbon County,THE MIDLANDS,Pennsylvania
Pawnee,Pawnee County,THE MIDLANDS,Nebraska
Unicoi,Unicoi County,GREATER APPALACHIA,Tennessee
Spartanburg,Spartanburg County,GREATER APPALACHIA,South Carolina
Marathon,Marathon County,YANKEEDOM,Wisconsin
Elko,Elko County,THE FAR WEST,Nevada
Braxton,Braxton County,GREATER APPALACHIA,West Virginia
Wexford,Wexford County,YANKEEDOM,Michigan
Cochran,Cochran County,GREATER APPALACHIA,Texas
Blair,Blair County,GREATER APPALACHIA,Pennsylvania
Hickory,Hickory County,GREATER APPALACHIA,Missouri
Barry,Barry County,GREATER APPALACHIA,Missouri
Ramsey,Ramsey County,YANKEEDOM,Minnesota
Little River,Little River County,DEEP SOUTH,Arkansas
Lyon,Lyon County,THE FAR WEST,Nevada
Lee,Lee County,PART OF THE SPANISH CARIBBEAN,Florida
Josephine,Josephine County,THE LEFT COAST,Oregon
Pike,Pike County,DEEP SOUTH,Mississippi
Coffee,Coffee County,GREATER APPALACHIA,Tennessee
Lemhi,Lemhi County,THE FAR WEST,Idaho
Ohio,Ohio County,GREATER APPALACHIA,Kentucky
Sarpy,Sarpy County,THE MIDLANDS,Nebraska
Colquitt,Colquitt County,DEEP SOUTH,Georgia
Wilkin,Wilkin County,YANKEEDOM,Minnesota
Randolph,Randolph County,GREATER APPALACHIA,Illinois
Kennebec,Kennebec County,YANKEEDOM,Maine
Smyth,Smyth County,GREATER APPALACHIA,Virginia
Roosevelt,Roosevelt County,GREATER APPALACHIA,New Mexico
Somerset,Somerset County,GREATER APPALACHIA,Pennsylvania
Washington,Washington County,GREATER APPALACHIA,Virginia
Guilford,Guilford County,TIDEWATER,North Carolina
Ada,Ada County,THE FAR WEST,Idaho
Custer,Custer County,THE MIDLANDS,Oklahoma
Marion,Marion County,THE MIDLANDS,Ohio
Pike,Pike County,GREATER APPALACHIA,Illinois
Woodford,Woodford County,THE MIDLANDS,Illinois
Richmond,Richmond County,DEEP SOUTH,Georgia
Pickens,Pickens County,DEEP SOUTH,Alabama
Ellis,Ellis County,THE MIDLANDS,Oklahoma
Perry,Perry County,GREATER APPALACHIA,Illinois
Grundy,Grundy County,THE MIDLANDS,Iowa
Routt,Routt County,THE FAR WEST,Colorado
Somerset,Somerset County,YANKEEDOM,New Jersey
Colusa,Colusa County,THE FAR WEST,California
Johnson,Johnson County,GREATER APPALACHIA,Illinois
Hinsdale,Hinsdale County,THE FAR WEST,Colorado
Cassia,Cassia County,THE FAR WEST,Idaho
Isanti,Isanti County,YANKEEDOM,Minnesota
Erie,Erie County,YANKEEDOM,Pennsylvania
Copiah,Copiah County,DEEP SOUTH,Mississippi
Van Zandt,Van Zandt County,DEEP SOUTH,Texas
Roanoke,Roanoke County,GREATER APPALACHIA,Virginia
Augusta,Augusta County,GREATER APPALACHIA,Virginia
Piute,Piute County,THE FAR WEST,Utah
Mason,Mason County,GREATER APPALACHIA,Kentucky
Benton,Benton County,YANKEEDOM,Minnesota
Donley,Donley County,GREATER APPALACHIA,Texas
Bay,Bay County,DEEP SOUTH,Florida
Lauderdale,Lauderdale County,GREATER APPALACHIA,Alabama
Fountain,Fountain County,GREATER APPALACHIA,Indiana
Shelby,Shelby County,GREATER APPALACHIA,Illinois
Fayette,Fayette County,GREATER APPALACHIA,Illinois
Perry,Perry County,GREATER APPALACHIA,Ohio
Danville,Danville city,GREATER APPALACHIA,Virginia
Banks,Banks County,GREATER APPALACHIA,Georgia
Wayne,Wayne County,DEEP SOUTH,Georgia
Oklahoma,Oklahoma County,GREATER APPALACHIA,Oklahoma
Johnston,Johnston County,GREATER APPALACHIA,Oklahoma
Jackson,Jackson County,GREATER APPALACHIA,North Carolina
Summit,Summit County,THE FAR WEST,Utah
Polk,Polk County,GREATER APPALACHIA,Missouri
Lander,Lander County,THE FAR WEST,Nevada
Winneshiek,Winneshiek County,YANKEEDOM,Iowa
Bracken,Bracken County,GREATER APPALACHIA,Kentucky
Florence,Florence County,YANKEEDOM,Wisconsin
Roane,Roane County,GREATER APPALACHIA,West Virginia
Wadena,Wadena County,YANKEEDOM,Minnesota
Hopewell,Hopewell city,TIDEWATER,Virginia
Winnebago,Winnebago County,YANKEEDOM,Illinois
Gila,Gila County,THE FAR WEST,Arizona
Wicomico,Wicomico County,TIDEWATER,Maryland
Carter,Carter County,GREATER APPALACHIA,Kentucky
Iredell,Iredell County,GREATER APPALACHIA,North Carolina
Halifax,Halifax County,TIDEWATER,Virginia
Hertford,Hertford County,TIDEWATER,North Carolina
Montgomery,Montgomery County,YANKEEDOM,New York
Pennington,Pennington County,YANKEEDOM,Minnesota
Whatcom,Whatcom County,THE LEFT COAST,Washington
Gilliam,Gilliam County,THE FAR WEST,Oregon
Ocean,Ocean County,THE MIDLANDS,New Jersey
Boone,Boone County,GREATER APPALACHIA,Arkansas
Comanche,Comanche County,GREATER APPALACHIA,Oklahoma
Jones,Jones County,GREATER APPALACHIA,Texas
Grimes,Grimes County,DEEP SOUTH,Texas
Genesee,Genesee County,YANKEEDOM,Michigan
Assumption,Assumption Parish,NEW FRANCE,Louisiana
Calhoun,Calhoun County,DEEP SOUTH,Mississippi
Greene,Greene County,DEEP SOUTH,Mississippi
Custer,Custer County,THE FAR WEST,Montana
Roberts,Roberts County,YANKEEDOM,South Dakota
Ogle,Ogle County,YANKEEDOM,Illinois
Richland,Richland County,YANKEEDOM,North Dakota
Barron,Barron County,YANKEEDOM,Wisconsin
Iron,Iron County,YANKEEDOM,Wisconsin
Wabasha,Wabasha County,YANKEEDOM,Minnesota
Del Norte,Del Norte County,THE LEFT COAST,California
Pushmataha,Pushmataha County,GREATER APPALACHIA,Oklahoma
Chelan,Chelan County,THE FAR WEST,Washington
Presque Isle,Presque Isle County,YANKEEDOM,Michigan
Cleveland,Cleveland County,GREATER APPALACHIA,Oklahoma
Sullivan,Sullivan County,YANKEEDOM,New York
Polk,Polk County,GREATER APPALACHIA,North Carolina
Scotland,Scotland County,DEEP SOUTH,North Carolina
Harnett,Harnett County,TIDEWATER,North Carolina
Lee,Lee County,TIDEWATER,North Carolina
Tipton,Tipton County,GREATER APPALACHIA,Indiana
Clay,Clay County,THE MIDLANDS,Kansas
Wagoner,Wagoner County,GREATER APPALACHIA,Oklahoma
Richland,Richland County,THE FAR WEST,Montana
Ashley,Ashley County,DEEP SOUTH,Arkansas
Desha,Desha County,DEEP SOUTH,Arkansas
Perry,Perry County,GREATER APPALACHIA,Tennessee
Washington,Washington County,YANKEEDOM,Minnesota
Portsmouth,Portsmouth city,TIDEWATER,Virginia
Fayette,Fayette County,GREATER APPALACHIA,Pennsylvania
Grant,Grant County,GREATER APPALACHIA,West Virginia
Shenandoah,Shenandoah County,GREATER APPALACHIA,Virginia
Irion,Irion County,GREATER APPALACHIA,Texas
Caldwell,Caldwell County,THE MIDLANDS,Missouri
Putnam,Putnam County,DEEP SOUTH,Florida
Crawford,Crawford County,GREATER APPALACHIA,Indiana
Lewis,Lewis County,GREATER APPALACHIA,Missouri
Grant,Grant County,THE FAR WEST,Nebraska
Oneida,Oneida County,THE FAR WEST,Idaho
Moultrie,Moultrie County,GREATER APPALACHIA,Illinois
Hopkins,Hopkins County,GREATER APPALACHIA,Kentucky
Clearwater,Clearwater County,THE FAR WEST,Idaho
Bell,Bell County,GREATER APPALACHIA,Kentucky
Crow Wing,Crow Wing County,YANKEEDOM,Minnesota
Graham,Graham County,EL NORTE,Arizona
St. Francis,St. Francis County,DEEP SOUTH,Arkansas
Echols,Echols County,DEEP SOUTH,Georgia
Lincoln,Lincoln County,THE MIDLANDS,Kansas
Smith,Smith County,THE MIDLANDS,Kansas
Jefferson,Jefferson County,DEEP SOUTH,Florida
Amite,Amite County,DEEP SOUTH,Mississippi
Montgomery,Montgomery County,GREATER APPALACHIA,Arkansas
Calhoun,Calhoun County,YANKEEDOM,Michigan
Cleburne,Cleburne County,DEEP SOUTH,Alabama
Weld,Weld County,THE FAR WEST,Colorado
Beckham,Beckham County,GREATER APPALACHIA,Oklahoma
Modoc,Modoc County,THE FAR WEST,California
Polk,Polk County,THE MIDLANDS,Iowa
Liberty,Liberty County,DEEP SOUTH,Georgia
Navarro,Navarro County,GREATER APPALACHIA,Texas
Brooks,Brooks County,EL NORTE,Texas
Williamson,Williamson County,GREATER APPALACHIA,Tennessee
Laramie,Laramie County,THE FAR WEST,Wyoming
Asotin,Asotin County,THE FAR WEST,Washington
Traverse,Traverse County,YANKEEDOM,Minnesota
Cass,Cass County,GREATER APPALACHIA,Illinois
Rockdale,Rockdale County,DEEP SOUTH,Georgia
Juniata,Juniata County,THE MIDLANDS,Pennsylvania
McKean,McKean County,YANKEEDOM,Pennsylvania
Garvin,Garvin County,GREATER APPALACHIA,Oklahoma
Burt,Burt County,THE MIDLANDS,Nebraska
San Juan,San Juan County,THE FAR WEST,New Mexico
Orleans,Orleans County,YANKEEDOM,New York
De Soto,De Soto Parish,DEEP SOUTH,Louisiana
Fresno,Fresno County,THE FAR WEST,California
Elbert,Elbert County,GREATER APPALACHIA,Georgia
Barbour,Barbour County,DEEP SOUTH,Alabama
Bladen,Bladen County,DEEP SOUTH,North Carolina
Dallam,Dallam County,THE MIDLANDS,Texas
Sangamon,Sangamon County,GREATER APPALACHIA,Illinois
Craig,Craig County,GREATER APPALACHIA,Oklahoma
Cumberland,Cumberland County,GREATER APPALACHIA,Tennessee
Otsego,Otsego County,YANKEEDOM,Michigan
Sac,Sac County,THE MIDLANDS,Iowa
Emery,Emery County,THE FAR WEST,Utah
Ferry,Ferry County,THE FAR WEST,Washington
Wibaux,Wibaux County,THE FAR WEST,Montana
Lincoln,Lincoln County,EL NORTE,New Mexico
Cherokee,Cherokee County,GREATER APPALACHIA,Oklahoma
Yellow Medicine,Yellow Medicine County,YANKEEDOM,Minnesota
Hunt,Hunt County,GREATER APPALACHIA,Texas
Mitchell,Mitchell County,GREATER APPALACHIA,Texas
Wood,Wood County,GREATER APPALACHIA,Texas
Osage,Osage County,GREATER APPALACHIA,Oklahoma
Cherokee,Cherokee County,GREATER APPALACHIA,North Carolina
Mecosta,Mecosta County,YANKEEDOM,Michigan
Pike,Pike County,GREATER APPALACHIA,Kentucky
Lafayette,Lafayette County,DEEP SOUTH,Florida
Catawba,Catawba County,GREATER APPALACHIA,North Carolina
Breathitt,Breathitt County,GREATER APPALACHIA,Kentucky
Childress,Childress County,GREATER APPALACHIA,Texas
Ripley,Ripley County,GREATER APPALACHIA,Missouri
Tazewell,Tazewell County,GREATER APPALACHIA,Illinois
Jeff Davis,Jeff Davis County,EL NORTE,Texas
Lexington,Lexington city,GREATER APPALACHIA,Virginia
Sharp,Sharp County,GREATER APPALACHIA,Arkansas
Larimer,Larimer County,THE FAR WEST,Colorado
Tyrrell,Tyrrell County,TIDEWATER,North Carolina
Rice,Rice County,YANKEEDOM,Minnesota
Warren,Warren County,GREATER APPALACHIA,Missouri
Warren,Warren County,GREATER APPALACHIA,Kentucky
Caddo,Caddo Parish,DEEP SOUTH,Louisiana
Todd,Todd County,THE FAR WEST,South Dakota
Marshall,Marshall County,THE MIDLANDS,Iowa
Tillman,Tillman County,GREATER APPALACHIA,Oklahoma
Macon,Macon County,GREATER APPALACHIA,North Carolina
Monroe,Monroe County,GREATER APPALACHIA,West Virginia
Switzerland,Switzerland County,GREATER APPALACHIA,Indiana
Hickman,Hickman County,GREATER APPALACHIA,Kentucky
Geneva,Geneva County,DEEP SOUTH,Alabama
LaSalle,LaSalle County,THE MIDLANDS,Illinois
Delaware,Delaware County,THE MIDLANDS,Iowa
Morris,Morris County,THE MIDLANDS,Kansas
Davis,Davis County,THE MIDLANDS,Iowa
Boise,Boise County,THE FAR WEST,Idaho
Monroe,Monroe County,YANKEEDOM,Wisconsin
Perquimans,Perquimans County,TIDEWATER,North Carolina
Hamilton,Hamilton County,DEEP SOUTH,Florida
Delaware,Delaware County,GREATER APPALACHIA,Indiana
Levy,Levy County,DEEP SOUTH,Florida
Hancock,Hancock County,DEEP SOUTH,Mississippi
Wilcox,Wilcox County,DEEP SOUTH,Georgia
Red River,Red River Parish,DEEP SOUTH,Louisiana
Knox,Knox County,GREATER APPALACHIA,Tennessee
Oxford,Oxford County,YANKEEDOM,Maine
Jackson,Jackson County,THE MIDLANDS,Missouri
Towns,Towns County,GREATER APPALACHIA,Georgia
Smith,Smith County,DEEP SOUTH,Mississippi
Payette,Payette County,THE FAR WEST,Idaho
Shoshone,Shoshone County,THE FAR WEST,Idaho
Hyde,Hyde County,TIDEWATER,North Carolina
Floyd,Floyd County,THE MIDLANDS,Iowa
McCracken,McCracken County,GREATER APPALACHIA,Kentucky
Union,Union County,GREATER APPALACHIA,Kentucky
Turner,Turner County,THE MIDLANDS,South Dakota
Cocke,Cocke County,GREATER APPALACHIA,Tennessee
Hancock,Hancock County,GREATER APPALACHIA,Tennessee
Hardin,Hardin County,GREATER APPALACHIA,Tennessee
Marion,Marion County,DEEP SOUTH,South Carolina
Washington,Washington Parish,DEEP SOUTH,Louisiana
Stoddard,Stoddard County,GREATER APPALACHIA,Missouri
Dooly,Dooly County,DEEP SOUTH,Georgia
Stearns,Stearns County,YANKEEDOM,Minnesota
Saunders,Saunders County,THE MIDLANDS,Nebraska
Sherburne,Sherburne County,YANKEEDOM,Minnesota
Davison,Davison County,THE MIDLANDS,South Dakota
Claiborne,Claiborne County,GREATER APPALACHIA,Tennessee
Montague,Montague County,GREATER APPALACHIA,Texas
Brown,Brown County,GREATER APPALACHIA,Texas
Racine,Racine County,YANKEEDOM,Wisconsin
Shawano,Shawano County,YANKEEDOM,Wisconsin
Audubon,Audubon County,THE MIDLANDS,Iowa
Haskell,Haskell County,GREATER APPALACHIA,Texas
Logan,Logan County,GREATER APPALACHIA,Oklahoma
Oneida,Oneida County,YANKEEDOM,New York
Lake,Lake County,THE FAR WEST,Colorado
Pittsburg,Pittsburg County,GREATER APPALACHIA,Oklahoma
Doddridge,Doddridge County,GREATER APPALACHIA,West Virginia
Wirt,Wirt County,GREATER APPALACHIA,West Virginia
Carroll,Carroll County,YANKEEDOM,New Hampshire
Tyler,Tyler County,GREATER APPALACHIA,West Virginia
Le Sueur,Le Sueur County,YANKEEDOM,Minnesota
Douglas,Douglas County,THE FAR WEST,Washington
Cattaraugus,Cattaraugus County,YANKEEDOM,New York
Dodge,Dodge County,YANKEEDOM,Wisconsin
Jones,Jones County,THE MIDLANDS,Iowa
Barber,Barber County,THE MIDLANDS,Kansas
Pulaski,Pulaski County,GREATER APPALACHIA,Missouri
Dale,Dale County,DEEP SOUTH,Alabama
Logan,Logan County,THE FAR WEST,Kansas
Madera,Madera County,THE FAR WEST,California
Gentry,Gentry County,THE MIDLANDS,Missouri
Blaine,Blaine County,THE FAR WEST,Nebraska
Daggett,Daggett County,THE FAR WEST,Utah
Platte,Platte County,THE FAR WEST,Wyoming
Gaston,Gaston County,GREATER APPALACHIA,North Carolina
Guadalupe,Guadalupe County,EL NORTE,New Mexico
Golden Valley,Golden Valley County,THE FAR WEST,Montana
Johnston,Johnston County,TIDEWATER,North Carolina
Santa Clara,Santa Clara County,THE LEFT COAST,California
Charleston,Charleston County,DEEP SOUTH,South Carolina
Benton,Benton County,THE FAR WEST,Washington
Adair,Adair County,THE MIDLANDS,Missouri
Erie,Erie County,YANKEEDOM,Ohio
Vermilion,Vermilion County,GREATER APPALACHIA,Illinois
St. Louis,St. Louis County,THE MIDLANDS,Missouri
Boone,Boone County,YANKEEDOM,Illinois
Tehama,Tehama County,THE FAR WEST,California
Dane,Dane County,YANKEEDOM,Wisconsin
Fisher,Fisher County,GREATER APPALACHIA,Texas
Sabine,Sabine Parish,DEEP SOUTH,Louisiana
Morgan,Morgan County,GREATER APPALACHIA,Illinois
Pulaski,Pulaski County,DEEP SOUTH,Georgia
Bertie,Bertie County,TIDEWATER,North Carolina
Stanly,Stanly County,GREATER APPALACHIA,North Carolina
Rhea,Rhea County,GREATER APPALACHIA,Tennessee
Greene,Greene County,TIDEWATER,North Carolina
Leslie,Leslie County,GREATER APPALACHIA,Kentucky
Somerset,Somerset County,TIDEWATER,Maryland
Marshall,Marshall County,THE MIDLANDS,Illinois
Lyon,Lyon County,GREATER APPALACHIA,Kentucky
Concho,Concho County,GREATER APPALACHIA,Texas
Coke,Coke County,GREATER APPALACHIA,Texas
Overton,Overton County,GREATER APPALACHIA,Tennessee
Huron,Huron County,YANKEEDOM,Michigan
Iosco,Iosco County,YANKEEDOM,Michigan
Coffee,Coffee County,DEEP SOUTH,Georgia
Ware,Ware County,DEEP SOUTH,Georgia
Grant,Grant County,THE FAR WEST,North Dakota
Jefferson,Jefferson Parish,NEW FRANCE,Louisiana
St. Tammany,St. Tammany Parish,NEW FRANCE,Louisiana
Hardin,Hardin County,THE MIDLANDS,Iowa
Cameron,Cameron Parish,NEW FRANCE,Louisiana
Clinton,Clinton County,GREATER APPALACHIA,Ohio
St. Louis,St. Louis County,YANKEEDOM,Minnesota
Lorain,Lorain County,YANKEEDOM,Ohio
Boone,Boone County,THE MIDLANDS,Iowa
Polk,Polk County,DEEP SOUTH,Texas
Dixon,Dixon County,THE MIDLANDS,Nebraska
Harford,Harford County,THE MIDLANDS,Maryland
Edgefield,Edgefield County,DEEP SOUTH,South Carolina
Accomack,Accomack County,TIDEWATER,Virginia
Calumet,Calumet County,YANKEEDOM,Wisconsin
Knox,Knox County,GREATER APPALACHIA,Kentucky
Ionia,Ionia County,YANKEEDOM,Michigan
New Hanover,New Hanover County,DEEP SOUTH,North Carolina
Obion,Obion County,GREATER APPALACHIA,Tennessee
Calloway,Calloway County,GREATER APPALACHIA,Kentucky
Albemarle,Albemarle County,TIDEWATER,Virginia
Robertson,Robertson County,GREATER APPALACHIA,Tennessee
Clarke,Clarke County,GREATER APPALACHIA,Virginia
Garfield,Garfield County,THE FAR WEST,Washington
Jackson,Jackson County,GREATER APPALACHIA,Kentucky
Cook,Cook County,YANKEEDOM,Minnesota
Oconee,Oconee County,GREATER APPALACHIA,South Carolina
East Baton Rouge,East Baton Rouge Parish,NEW FRANCE,Louisiana
Claiborne,Claiborne County,DEEP SOUTH,Mississippi
St. Mary's,St. Mary's County,TIDEWATER,Maryland
Kent,Kent County,YANKEEDOM,Michigan
Pitt,Pitt County,TIDEWATER,North Carolina
Carbon,Carbon County,THE FAR WEST,Montana
Stanton,Stanton County,THE MIDLANDS,Nebraska
Appling,Appling County,DEEP SOUTH,Georgia
Jasper,Jasper County,THE MIDLANDS,Iowa
Wayne,Wayne County,DEEP SOUTH,Mississippi
Cottle,Cottle County,GREATER APPALACHIA,Texas
Greensville,Greensville County,TIDEWATER,Virginia
Polk,Polk County,DEEP SOUTH,Florida
Young,Young County,GREATER APPALACHIA,Texas
Tallapoosa,Tallapoosa County,DEEP SOUTH,Alabama
Rockingham,Rockingham County,YANKEEDOM,New Hampshire
Rio Grande,Rio Grande County,THE FAR WEST,Colorado
Plymouth,Plymouth County,THE MIDLANDS,Iowa
Yates,Yates County,YANKEEDOM,New York
King,King County,THE LEFT COAST,Washington
Deschutes,Deschutes County,THE FAR WEST,Oregon
Pottawattamie,Pottawattamie County,THE MIDLANDS,Iowa
Wright,Wright County,GREATER APPALACHIA,Missouri
Toole,Toole County,THE FAR WEST,Montana
Tioga,Tioga County,YANKEEDOM,New York
Lee,Lee County,GREATER APPALACHIA,Texas
Fulton,Fulton County,DEEP SOUTH,Georgia
Cherokee,Cherokee County,DEEP SOUTH,Texas
Audrain,Audrain County,GREATER APPALACHIA,Missouri
Colleton,Colleton County,DEEP SOUTH,South Carolina
Jefferson,Jefferson County,YANKEEDOM,Wisconsin
Greene,Greene County,GREATER APPALACHIA,Arkansas
Hall,Hall County,GREATER APPALACHIA,Texas
Burnett,Burnett County,YANKEEDOM,Wisconsin
Torrance,Torrance County,EL NORTE,New Mexico
Pacific,Pacific County,THE LEFT COAST,Washington
Pender,Pender County,DEEP SOUTH,North Carolina
Hood,Hood County,GREATER APPALACHIA,Texas
Stanley,Stanley County,THE FAR WEST,South Dakota
Washoe,Washoe County,THE FAR WEST,Nevada
Ballard,Ballard County,GREATER APPALACHIA,Kentucky
Archer,Archer County,GREATER APPALACHIA,Texas
Baylor,Baylor County,GREATER APPALACHIA,Texas
San Augustine,San Augustine County,DEEP SOUTH,Texas
Storey,Storey County,THE FAR WEST,Nevada
Schley,Schley County,DEEP SOUTH,Georgia
Fairfield,Fairfield County,YANKEEDOM,Connecticut
Madison,Madison County,DEEP SOUTH,Texas
San Joaquin,San Joaquin County,THE FAR WEST,California
Winston,Winston County,DEEP SOUTH,Mississippi
Henry,Henry County,GREATER APPALACHIA,Kentucky
Mercer,Mercer County,GREATER APPALACHIA,Kentucky
Wheeler,Wheeler County,THE MIDLANDS,Nebraska
Lewis,Lewis County,GREATER APPALACHIA,Kentucky
Grant,Grant County,YANKEEDOM,Minnesota
Humphreys,Humphreys County,DEEP SOUTH,Mississippi
Clarke,Clarke County,DEEP SOUTH,Alabama
Chase,Chase County,GREATER APPALACHIA,Kansas
Trigg,Trigg County,GREATER APPALACHIA,Kentucky
Houston,Houston County,DEEP SOUTH,Alabama
Aurora,Aurora County,THE MIDLANDS,South Dakota
Franklin,Franklin County,THE MIDLANDS,Nebraska
Kent,Kent County,TIDEWATER,Maryland
Crawford,Crawford County,GREATER APPALACHIA,Kansas
Chippewa,Chippewa County,YANKEEDOM,Minnesota
Pennington,Pennington County,THE FAR WEST,South Dakota
Hampton,Hampton County,DEEP SOUTH,South Carolina
Fremont,Fremont County,THE FAR WEST,Idaho
Bryan,Bryan County,DEEP SOUTH,Georgia
Dinwiddie,Dinwiddie County,TIDEWATER,Virginia
St. Lucie,St. Lucie County,DEEP SOUTH,Florida
Monroe,Monroe County,YANKEEDOM,New York
Lincoln,Lincoln County,THE MIDLANDS,South Dakota
Chippewa,Chippewa County,YANKEEDOM,Wisconsin
Woodson,Woodson County,GREATER APPALACHIA,Kansas
Marshall,Marshall County,GREATER APPALACHIA,Kentucky
Clinch,Clinch County,DEEP SOUTH,Georgia
Lowndes,Lowndes County,DEEP SOUTH,Georgia
Macomb,Macomb County,YANKEEDOM,Michigan
Turner,Turner County,DEEP SOUTH,Georgia
Jasper,Jasper County,GREATER APPALACHIA,Illinois
Milam,Milam County,DEEP SOUTH,Texas
Spencer,Spencer County,GREATER APPALACHIA,Indiana
Hart,Hart County,GREATER APPALACHIA,Kentucky
Lincoln,Lincoln County,GREATER APPALACHIA,Kentucky
Blaine,Blaine County,THE FAR WEST,Montana
Norfolk,Norfolk city,TIDEWATER,Virginia
Reeves,Reeves County,EL NORTE,Texas
Pulaski,Pulaski County,GREATER APPALACHIA,Virginia
Union,Union County,GREATER APPALACHIA,North Carolina
McKenzie,McKenzie County,THE FAR WEST,North Dakota
Okaloosa,Okaloosa County,DEEP SOUTH,Florida
Alameda,Alameda County,THE LEFT COAST,California
Calhoun,Calhoun County,GREATER APPALACHIA,Illinois
Kosciusko,Kosciusko County,THE MIDLANDS,Indiana
Noxubee,Noxubee County,DEEP SOUTH,Mississippi
Woodruff,Woodruff County,DEEP SOUTH,Arkansas
Gloucester,Gloucester County,THE MIDLANDS,New Jersey
Hillsborough,Hillsborough County,YANKEEDOM,New Hampshire
Judith Basin,Judith Basin County,THE FAR WEST,Montana
Mitchell,Mitchell County,GREATER APPALACHIA,North Carolina
Powell,Powell County,THE FAR WEST,Montana
Polk,Polk County,THE LEFT COAST,Oregon
Wasco,Wasco County,THE FAR WEST,Oregon
Perkins,Perkins County,THE FAR WEST,South Dakota
Taylor,Taylor County,THE MIDLANDS,Iowa
Washington,Washington County,DEEP SOUTH,Alabama
Defiance,Defiance County,THE MIDLANDS,Ohio
Greenbrier,Greenbrier County,GREATER APPALACHIA,West Virginia
Marion,Marion County,GREATER APPALACHIA,Illinois
Dickenson,Dickenson County,GREATER APPALACHIA,Virginia
Amelia,Amelia County,TIDEWATER,Virginia
Randolph,Randolph County,DEEP SOUTH,Georgia
Luna,Luna County,EL NORTE,New Mexico
Nueces,Nueces County,EL NORTE,Texas
Weston,Weston County,THE FAR WEST,Wyoming
Warren,Warren County,THE MIDLANDS,Illinois
Madison,Madison County,GREATER APPALACHIA,Alabama
Wilson,Wilson County,GREATER APPALACHIA,Tennessee
Camp,Camp County,DEEP SOUTH,Texas
Jefferson,Jefferson County,GREATER APPALACHIA,Oklahoma
Ritchie,Ritchie County,GREATER APPALACHIA,West Virginia
Page,Page County,THE MIDLANDS,Iowa
Jefferson,Jefferson County,THE MIDLANDS,Kansas
Iberia,Iberia Parish,NEW FRANCE,Louisiana
Onslow,Onslow County,DEEP SOUTH,North Carolina
Faribault,Faribault County,YANKEEDOM,Minnesota
Grainger,Grainger County,GREATER APPALACHIA,Tennessee
Freestone,Freestone County,GREATER APPALACHIA,Texas
Mifflin,Mifflin County,THE MIDLANDS,Pennsylvania
Crenshaw,Crenshaw County,DEEP SOUTH,Alabama
Bristol,Bristol city,GREATER APPALACHIA,Virginia
Runnels,Runnels County,GREATER APPALACHIA,Texas
Terrell,Terrell County,EL NORTE,Texas
Rawlins,Rawlins County,THE FAR WEST,Kansas
Thomas,Thomas County,THE FAR WEST,Kansas
Jeff Davis,Jeff Davis County,DEEP SOUTH,Georgia
Cherokee,Cherokee County,THE MIDLANDS,Iowa
White,White County,GREATER APPALACHIA,Arkansas
Leflore,Leflore County,DEEP SOUTH,Mississippi
Cooper,Cooper County,THE MIDLANDS,Missouri
Dickinson,Dickinson County,YANKEEDOM,Michigan
Will,Will County,THE MIDLANDS,Illinois
Deaf Smith,Deaf Smith County,GREATER APPALACHIA,Texas
Brookings,Brookings County,YANKEEDOM,South Dakota
Clay,Clay County,THE MIDLANDS,Missouri
Coahoma,Coahoma County,DEEP SOUTH,Mississippi
Boone,Boone County,GREATER APPALACHIA,Indiana
Des Moines,Des Moines County,THE MIDLANDS,Iowa
Scott,Scott County,THE MIDLANDS,Iowa
Ottawa,Ottawa County,THE MIDLANDS,Kansas
Columbia,Columbia County,DEEP SOUTH,Florida
Holmes,Holmes County,DEEP SOUTH,Florida
Harrison,Harrison County,DEEP SOUTH,Mississippi
Bradley,Bradley County,GREATER APPALACHIA,Tennessee
Carlton,Carlton County,YANKEEDOM,Minnesota
Marion,Marion County,DEEP SOUTH,Texas
Schoharie,Schoharie County,YANKEEDOM,New York
Pawnee,Pawnee County,GREATER APPALACHIA,Oklahoma
Broome,Broome County,YANKEEDOM,New York
Liberty,Liberty County,DEEP SOUTH,Texas
Athens,Athens County,GREATER APPALACHIA,Ohio
Jefferson,Jefferson County,THE MIDLANDS,Ohio
Randolph,Randolph County,GREATER APPALACHIA,West Virginia
Marion,Marion County,GREATER APPALACHIA,West Virginia
Cumberland,Cumberland County,THE MIDLANDS,New Jersey
Nevada,Nevada County,THE FAR WEST,California
Douglas,Douglas County,YANKEEDOM,Wisconsin
Pulaski,Pulaski County,GREATER APPALACHIA,Kentucky
